company_id,company_name,sector,priority,cz_presence,remote_eligible,careers_url,jobs_search_url,ats_vendor,ats_family,ats_tenant,endpoint_found,endpoint_type,endpoint_url,structured_jobposting,requires_javascript,location_filterable,remote_filterable,requisition_id_available,canonical_job_url,date_posted_available,valid_through_available,job_description_available,extraction_method,expected_adapter,bespoke_code_required,difficulty,estimated_setup_minutes,historical_relevance,historical_role_count,historical_detection_possible,last_verified,verification_status,notes
microsoft,Microsoft,Tech,,Prague,,https://careers.microsoft.com/,https://careers.microsoft.com/v2/global/en/locations/prague.html,Microsoft proprietary,microsoft_careers,,yes,structured_html,https://careers.microsoft.com/v2/global/en/locations/prague.html,unknown,unknown,yes,yes,yes,yes,yes,unknown,yes,generic_html,MicrosoftCareersAdapter,yes,3,30,,,,2026-08-20,verified,First-party Prague inventory exposes job metadata and descriptions; custom adapter likely worthwhile because employer is high-value.
sap,SAP,Tech,,Prague/Czechia,,https://jobs.sap.com/,https://jobs.sap.com/go/Czech-Republic/8806201/,SAP SuccessFactors,successfactors,,yes,career_search,https://jobs.sap.com/go/Czech-Republic/8806201/,unknown,unknown,yes,unknown,yes,yes,yes,unknown,yes,ats_adapter,SuccessFactorsAdapter,no,2,10,,,,2026-08-20,verified,SAP's own careers stack; paginated Czech inventory.
oracle,Oracle,Tech,,Prague/Czechia,,https://www.oracle.com/cz/careers/,https://careers.oracle.com/,Oracle Recruiting,oracle_recruiting,,probable,career_search,https://careers.oracle.com/,unknown,unknown,yes,unknown,probable,yes,probable,unknown,yes,generic_html,OracleCareersAdapter,yes,3,30,,,,2026-08-20,probable,First-party global Oracle careers search is monitorable; exact feed/API still needs endpoint probing.
cisco,Cisco,Tech,,Prague/Czechia,,https://careers.cisco.com/,https://careers.cisco.com/global/en/search-results,Phenom,phenom,,yes,json_api,https://careers.cisco.com/widgets,unknown,yes,yes,yes,yes,yes,yes,unknown,yes,ats_adapter,PhenomAdapter,no,2,10,,,,2026-08-20,verified,Validated shared Phenom /widgets refineSearch contract; former jobs.cisco.com assumption was stale.
red_hat,Red Hat,Tech,,Brno/Czechia,,https://www.redhat.com/en/jobs,https://redhat.wd5.myworkdayjobs.com/jobs,Workday,workday,wd5|redhat|jobs,yes,ats_search,https://redhat.wd5.myworkdayjobs.com/jobs,unknown,yes,yes,yes,yes,yes,yes,unknown,yes,ats_adapter,WorkdayAdapter,no,1,5,,,,2026-08-20,verified,Public Workday job URLs observed.
pure_storage,Pure Storage,Tech,,Prague,,https://www.purestorage.com/company/careers.html,https://job-boards.greenhouse.io/purestorage,Greenhouse,greenhouse,purestorage,yes,public_board,https://job-boards.greenhouse.io/purestorage,unknown,no,yes,unknown,yes,yes,yes,unknown,yes,ats_adapter,GreenhouseAdapter,no,1,5,,,,2026-08-20,verified,Explicit Greenhouse job board with Prague roles.
gen_digital,Gen Digital,Cybersecurity,,Prague,,https://www.gendigital.com/us/en/careers/,https://jobs.ashbyhq.com/gen-digital,Ashby,ashby,gen-digital,yes,public_board,https://jobs.ashbyhq.com/gen-digital,unknown,no,yes,yes,yes,yes,yes,unknown,yes,ats_adapter,AshbyAdapter,no,1,5,,,,2026-08-20,verified,Current Gen job board observed on Ashby; legacy Workday links also exist.
productboard,Productboard,SaaS,,Prague/Brno/Remote EU,,https://www.productboard.com/careers/,https://www.productboard.com/careers/open-positions/,Custom first-party,custom,,yes,structured_html,https://www.productboard.com/careers/open-positions/,unknown,no,yes,yes,yes,yes,unknown,unknown,yes,generic_html,GenericHtmlAdapter,no,2,15,,,,2026-08-20,verified,Prior Greenhouse tenant is stale; current first-party open-positions inventory exposes its own job links.
mews,Mews,SaaS,,Prague/Remote,,https://www.mews.com/en/careers,https://www.mews.com/en/careers,Greenhouse,greenhouse,mews,yes,embedded_board,https://www.mews.com/en/careers,unknown,unknown,yes,yes,yes,yes,probable,unknown,yes,ats_adapter,GreenhouseAdapter,no,1,5,,,,2026-08-20,verified,"Career URLs expose gh_jid parameters, indicating embedded Greenhouse."
gooddata,GoodData,Data,,Prague/Brno,,https://www.gooddata.com/company/careers/,https://www.gooddata.ai/company/careers/open-positions/,Custom first-party,custom,,yes,structured_html,https://www.gooddata.ai/company/careers/open-positions/,unknown,no,yes,unknown,probable,yes,unknown,unknown,yes,generic_html,GenericCareerSearchAdapter,no,2,15,,,,2026-08-20,verified,Structured first-party open-position list; ATS vendor not required for discovery.
keboola,Keboola,Data,,Prague/Remote EU,,https://www.keboola.com/about/jobs,https://www.keboola.com/about/jobs,Custom first-party,custom,,yes,structured_html,https://www.keboola.com/about/jobs,unknown,no,yes,unknown,no,yes,unknown,unknown,yes,generic_html,GenericCareerSearchAdapter,no,2,15,,,,2026-08-20,verified,Current careers page lists open roles and locations directly.
rossum,Rossum,AI,,Prague,,https://rossum.ai/careers/,https://jobs.ashbyhq.com/rossum.ai,Ashby,ashby,rossum.ai,yes,public_board,https://jobs.ashbyhq.com/rossum.ai,unknown,no,yes,yes,yes,yes,yes,unknown,yes,ats_adapter,AshbyAdapter,no,1,5,,,,2026-08-20,verified,Explicit Ashby board.
resistant_ai,Resistant AI,AI,,Prague,,https://resistant.ai/career/,https://resistant.ai/career/,LinkedIn outbound only,unsupported_linkedin,,no,outbound_link,https://resistant.ai/career/,no,no,no,no,no,no,no,no,no,unsupported,,yes,5,60,,,,2026-08-20,downgraded,Current first-party page exposes only LinkedIn vacancy links; LinkedIn scraping is out of scope.
wrike,Wrike,SaaS,,Prague/Remote,,https://www.wrike.com/jobs/,https://www.wrike.com/jobs/,Greenhouse,greenhouse,wrike,probable,embedded_board,https://www.wrike.com/jobs/,unknown,unknown,yes,yes,probable,yes,probable,unknown,yes,ats_adapter,GreenhouseAdapter,no,2,10,,,,2026-08-20,probable,Wrike has a current filterable first-party inventory and a documented Greenhouse implementation; endpoint needs confirming.
johnson_johnson,Johnson & Johnson,Healthcare,,Prague,,https://www.careers.jnj.com/,https://www.careers.jnj.com/en/jobs/,Workday,workday,wd5|jj|JJ,yes,ats_search,https://jj.wd5.myworkdayjobs.com/JJ,unknown,yes,yes,unknown,yes,yes,yes,unknown,yes,ats_adapter,WorkdayAdapter,no,1,5,,,,2026-08-20,verified,J&J FAQ explicitly links Candidate Home on jj.wd5.myworkdayjobs.com.
msd,MSD,Pharma,,Prague,,https://www.msd.cz/en/careers/,https://msd.jobs.cz/,Alma Career / Jobs.cz,almacareer,msd.jobs.cz,yes,career_portal,https://msd.jobs.cz/,unknown,unknown,yes,unknown,yes,yes,probable,unknown,yes,ats_adapter,AlmaCareerAdapter,no,2,10,,,,2026-08-20,verified,Czech careers route through branded Jobs.cz/Alma portal; global application backend may differ.
novartis,Novartis,Pharma,,Prague,,https://www.novartis.com/careers,https://www.novartis.com/careers/career-search,Custom first-party,novartis_careers,,yes,career_search,https://www.novartis.com/careers/career-search,unknown,unknown,yes,yes,yes,yes,yes,unknown,yes,generic_html,NovartisCareersAdapter,yes,2,20,,,,2026-08-20,verified,"Filterable first-party inventory exposes location, functional area and posting date."
astrazeneca,AstraZeneca,Pharma,,Prague,,https://careers.astrazeneca.com/,https://careers.astrazeneca.com/search-jobs/czech/7684/1/1,TalentBrew,talentbrew,,yes,career_search,https://careers.astrazeneca.com/search-jobs/czech/7684/1/1,unknown,yes,yes,yes,yes,yes,yes,unknown,yes,generic_html,TalentBrewAdapter,yes,3,30,,,,2026-08-20,verified,Browser assets identify TalentBrew; prior Phenom-like classification was incorrect and this family is not validated in the follow-up.
roche,Roche,Pharma,,Prague,,https://careers.roche.com/global/en,https://careers.roche.com/global/en/search-results,Phenom,phenom,,yes,json_api,https://careers.roche.com/widgets,unknown,yes,yes,yes,yes,yes,yes,unknown,yes,ats_adapter,PhenomAdapter,no,2,10,,,,2026-08-20,verified,Validated shared Phenom /widgets refineSearch contract.
sanofi,Sanofi,Pharma,,Prague,,https://jobs.sanofi.com/,https://jobs.sanofi.com/en/search-jobs/czech/20873/1/1,Phenom-like first-party,phenom_like,,yes,career_search,https://jobs.sanofi.com/en/search-jobs/czech/20873/1/1,unknown,unknown,yes,yes,yes,yes,yes,unknown,yes,generic_html,PhenomLikeAdapter,no,2,10,,,,2026-08-20,verified,Country/city filtered inventory and stable individual job URLs available.
takeda,Takeda,Pharma,,Prague/Czechia,,https://jobs.takeda.com/,https://takeda.wd3.myworkdayjobs.com/External,Workday,workday,wd3|takeda|External,yes,ats_search,https://takeda.wd3.myworkdayjobs.com/External,unknown,yes,yes,yes,yes,yes,yes,unknown,yes,ats_adapter,WorkdayAdapter,no,1,5,,,,2026-08-20,verified,Public Takeda Workday URLs observed.
zentiva,Zentiva,Pharma,,Prague,,https://www.zentiva.com/careers,https://zentiva.wd3.myworkdayjobs.com/,Workday,workday,wd3|zentiva,probable,ats_search,https://zentiva.wd3.myworkdayjobs.com/,unknown,yes,yes,unknown,yes,yes,probable,unknown,yes,ats_adapter,WorkdayAdapter,no,2,10,,,,2026-08-20,probable,Public Workday links have been observed; current tenant should be re-probed before implementation.
bayer,Bayer,Healthcare,,Prague/Czechia,,https://www.bayer.com/en/career,https://jobs.bayer.com/,SAP SuccessFactors-like,successfactors,,probable,career_search,https://jobs.bayer.com/,unknown,unknown,yes,unknown,yes,yes,yes,unknown,yes,ats_adapter,SuccessFactorsAdapter,no,2,10,,,,2026-08-20,probable,"Stable jobs.bayer.com job/invite URLs; likely reusable enterprise ATS pattern, endpoint needs confirmation."
pfizer,Pfizer,Pharma,,Prague/Czechia,,https://www.pfizer.com/about/careers,https://pfizer.wd1.myworkdayjobs.com/PfizerCareers,Workday,workday,wd1|pfizer|PfizerCareers,yes,ats_search,https://pfizer.wd1.myworkdayjobs.com/PfizerCareers,unknown,yes,yes,yes,yes,yes,yes,unknown,yes,ats_adapter,WorkdayAdapter,no,1,5,,,,2026-08-20,verified,Public Pfizer Workday tenant is widely exposed in first-party application links.
deutsche_boerse_group,Deutsche Börse Group,Financial Infrastructure,,Prague,,https://careers.deutsche-boerse.com/,https://career.deutsche-boerse.com/,SAP SuccessFactors-like,successfactors,,yes,career_search,https://career.deutsche-boerse.com/,unknown,unknown,yes,unknown,yes,yes,yes,unknown,yes,ats_adapter,SuccessFactorsAdapter,no,2,10,,,,2026-08-20,probable,Job URLs use stable /job/.../numeric requisition pattern typical of SuccessFactors.
mastercard,Mastercard,Payments,,Prague,,https://careers.mastercard.com/,https://careers.mastercard.com/us/en/search-results/,Phenom-like first-party,phenom_like,,yes,career_search,https://careers.mastercard.com/us/en/search-results/,unknown,unknown,yes,yes,yes,yes,yes,unknown,yes,generic_html,PhenomLikeAdapter,no,2,10,,,,2026-08-20,verified,First-party filterable career inventory exposes locations/categories and individual jobs.
visa,Visa,Payments,,Prague,,https://corporate.visa.com/en/careers.html,https://jobs.smartrecruiters.com/Visa,SmartRecruiters,smartrecruiters,Visa,yes,public_board,https://jobs.smartrecruiters.com/Visa,unknown,no,yes,yes,yes,yes,yes,unknown,yes,ats_adapter,SmartRecruitersAdapter,no,1,5,,,,2026-08-20,verified,Multiple Visa Prague roles verified directly on SmartRecruiters.
barclays,Barclays,Banking,,Prague,,https://home.barclays/careers/,https://search.jobs.barclays/search-jobs/Prague,Barclays proprietary,barclays_careers,,yes,career_search,https://search.jobs.barclays/,unknown,unknown,yes,unknown,yes,yes,yes,unknown,yes,generic_html,BarclaysCareersAdapter,yes,3,30,,,,2026-08-20,verified,First-party queryable job search with location and posting metadata.
commerzbank,Commerzbank,Banking,,Prague,,https://jobs.commerzbank.com/,https://commerzbank.jobs.cz/,Alma Career / Jobs.cz,almacareer,commerzbank.jobs.cz,yes,career_portal,https://commerzbank.jobs.cz/,unknown,unknown,yes,unknown,yes,yes,probable,unknown,yes,ats_adapter,AlmaCareerAdapter,no,2,10,,,,2026-08-20,verified,Czech portal is branded Jobs.cz/Alma; global portal also available.
raiffeisen_bank_international,Raiffeisen Bank International,Banking,,Prague/CEE,,https://jobs.rbinternational.com/,https://jobs.rbinternational.com/,SAP SuccessFactors-like,successfactors,,probable,career_search,https://jobs.rbinternational.com/,unknown,unknown,yes,unknown,probable,yes,probable,unknown,yes,ats_adapter,SuccessFactorsAdapter,no,2,10,,,,2026-08-20,probable,Machine-queryable first-party jobs portal; vendor pattern requires endpoint confirmation.
erste_group,Erste Group,Banking,,Prague/CEE,,https://www.erstegroup.com/en/career,https://erstegroup-careers.com/,SAP SuccessFactors,successfactors,,yes,career_search,https://erstegroup-careers.com/,unknown,unknown,yes,unknown,yes,yes,yes,unknown,yes,ats_adapter,SuccessFactorsAdapter,no,1,5,,,,2026-08-20,verified,Current Prague job URLs use stable /job/.../numeric pattern and display date/location.
csob,ČSOB,Banking,,Prague,,https://csob.jobs.cz/,https://csob.jobs.cz/,Alma Career / Jobs.cz,almacareer,csob.jobs.cz,yes,graphql_widget,https://api.capybara.lmc.cz/api/graphql/widget,unknown,yes,yes,unknown,yes,yes,yes,unknown,yes,ats_adapter,AlmaCareerAdapter,no,2,10,,,,2026-08-20,verified,Validated shared Capybara GraphQL widget with credentials discovered from portal configuration.
bcg,Boston Consulting Group (BCG),Consulting,,Prague,,https://careers.bcg.com/,https://careers.bcg.com/global/en/search-results,Workday / custom frontend,workday,,probable,career_search,https://careers.bcg.com/global/en/search-results,unknown,unknown,yes,unknown,yes,yes,yes,unknown,yes,ats_adapter,WorkdayAdapter,no,2,10,,,,2026-08-20,probable,BCG has a custom careers frontend; public Workday tenant references exist but should be validated before implementation.
mckinsey,McKinsey & Company,Consulting,,Prague,,https://www.mckinsey.com/careers,https://www.mckinsey.com/careers/search-jobs,Workday / custom frontend,workday,,probable,career_search,https://www.mckinsey.com/careers/search-jobs,unknown,unknown,yes,unknown,yes,yes,yes,unknown,yes,ats_adapter,WorkdayAdapter,no,2,10,,,,2026-08-20,probable,First-party search plus publicly referenced Workday external tenant; endpoint confirmation still needed.
accenture,Accenture,Consulting,,Prague,,https://www.accenture.com/cz-en/careers,https://www.accenture.com/cz-en/careers/jobsearch,Workday / custom frontend,workday,,probable,career_search,https://www.accenture.com/cz-en/careers/jobsearch,unknown,unknown,yes,unknown,yes,yes,yes,unknown,yes,ats_adapter,WorkdayAdapter,no,2,10,,,,2026-08-20,probable,Stable first-party job IDs (R...) and public Workday tenant references exist.
deloitte,Deloitte,Consulting,,Prague,,https://www.deloitte.com/cz-sk/en/careers.html,https://apply.deloittece.com/en_US/careers/SearchJobs/,Deloitte CE custom,deloitte_ce,,yes,career_search,https://apply.deloittece.com/en_US/careers/SearchJobs/,unknown,unknown,yes,yes,yes,yes,yes,unknown,yes,generic_html,DeloitteCEAdapter,yes,3,30,,,,2026-08-20,verified,"Deloitte CE search is directly queryable with filters, pagination and current Prague roles."
pwc,PwC,Consulting,,Prague/Brno/Ostrava,,https://www.pwc.com/cz/en/kariera.html,https://www.pwc.com/cz/en/kariera.html,Workday / custom frontend,workday,,probable,career_search,https://www.pwc.com/cz/en/kariera.html,unknown,unknown,yes,unknown,probable,yes,probable,unknown,yes,ats_adapter,WorkdayAdapter,no,2,10,,,,2026-08-20,probable,Czech career site links to job search; public PwC Workday external tenant references exist.
ey,EY,Consulting,,Prague,,https://careers.ey.com/,https://careers.ey.com/ey/search/,SAP SuccessFactors,successfactors,,yes,career_search,https://careers.ey.com/ey/search/,unknown,unknown,yes,unknown,yes,yes,yes,unknown,yes,ats_adapter,SuccessFactorsAdapter,no,1,5,,,,2026-08-20,verified,Current Prague job pages use classic SuccessFactors /job/.../numeric pattern and expose requisition/date.
kpmg,KPMG,Consulting,,Prague,,https://kpmg.jobs.cz/,https://kpmg.jobs.cz/,Alma Career / Jobs.cz,almacareer,kpmg.jobs.cz,yes,career_portal,https://kpmg.jobs.cz/,unknown,unknown,yes,unknown,yes,yes,probable,unknown,yes,ats_adapter,AlmaCareerAdapter,no,2,10,,,,2026-08-20,verified,Site footer explicitly says created/operated by Alma Career Czechia.
siemens,Siemens,Industrial Technology,,Prague/Ostrava,,https://www.siemens.com/cz/cs/spolecnost/jobs.html,https://siemens.jobs.cz/,Alma Career / Jobs.cz,almacareer,siemens.jobs.cz,yes,graphql_widget,https://api.capybara.lmc.cz/api/graphql/widget,unknown,yes,yes,unknown,yes,yes,yes,unknown,yes,ats_adapter,AlmaCareerAdapter,no,2,10,,,,2026-08-20,verified,Validated shared Capybara GraphQL widget with credentials discovered from portal configuration.
honeywell,Honeywell,Industrial Technology,,Prague/Brno,,https://honeywell.jobs.cz/,https://honeywell.jobs.cz/en/positions,Alma Career / Jobs.cz,almacareer,honeywell.jobs.cz,yes,graphql_widget,https://api.capybara.lmc.cz/api/graphql/widget,unknown,yes,yes,unknown,yes,yes,yes,unknown,yes,ats_adapter,AlmaCareerAdapter,no,2,10,,,,2026-08-20,verified,Validated shared Capybara GraphQL widget; declarative widget name main-en selects the English inventory.
abb,ABB,Industrial Technology,,Prague/Brno/Ostrava,,https://careers.abb/,https://abb.jobs.cz/,Alma Career / Jobs.cz,almacareer,abb.jobs.cz,yes,career_portal,https://abb.jobs.cz/,unknown,unknown,yes,unknown,yes,yes,probable,unknown,yes,ats_adapter,AlmaCareerAdapter,no,2,10,,,,2026-08-20,verified,Czech branded Jobs.cz/Alma portal available.
schneider_electric,Schneider Electric,Industrial Technology,,Prague/Czechia,,https://www.se.com/ww/en/about-us/careers/,https://careers.se.com/,Jibe,jibe,,yes,json_api,https://careers.se.com/api/jobs,unknown,yes,yes,yes,yes,yes,yes,unknown,yes,json_feed,JsonFeedAdapter,no,2,10,,,,2026-08-20,verified,Validated paginated first-party Jibe JSON feed with declarative field mapping.
eaton,Eaton,Industrial Technology,,Prague,,https://www.eaton.com/cz/en-gb/company/careers.html,https://eaton.jobs.cz/,Alma Career / Jobs.cz,almacareer,eaton.jobs.cz,yes,career_portal,https://eaton.jobs.cz/,unknown,unknown,yes,unknown,yes,yes,probable,unknown,yes,ats_adapter,AlmaCareerAdapter,no,2,10,,,,2026-08-20,verified,Czech branded Jobs.cz/Alma portal.
